 Total Nb of available Diagnostics: ndiagt=   227
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |hFactorW| 15 |    99 |SUr     MR|1               |Western-Edge cell-thickness fraction [-]
    99 |hFactorS| 15 |    98 |SVr     MR|1               |Southern-Edge cell-thickness fraction [-]
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TOTUTEND| 15 |   101 |UUR     MR|m/s/day         |Tendency of Zonal Component of Velocity
   101 |TOTVTEND| 15 |   100 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
   102 |TOTTTEND| 15 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
   103 |TOTSTEND| 15 |       |SMR     MR|psu/day         |Tendency of Salinity
   104 |MoistCor| 15 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   105 |gT_Forc | 15 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   106 |gS_Forc | 15 |       |SMR     MR|psu/s           |Salinity forcing tendency
   107 |AB_gT   | 15 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   108 |AB_gS   | 15 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   109 |gTinAB  | 15 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   110 |gSinAB  | 15 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   111 |AB_gU   | 15 |   112 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   112 |AB_gV   | 15 |   111 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   113 |ADVr_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   114 |ADVx_TH | 15 |   115 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   115 |ADVy_TH | 15 |   114 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   116 |DFrE_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   117 |DFxE_TH | 15 |   118 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   118 |DFyE_TH | 15 |   117 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   119 |DFrI_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   120 |ADVr_SLT| 15 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   121 |ADVx_SLT| 15 |   122 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   122 |ADVy_SLT| 15 |   121 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   123 |DFrE_SLT| 15 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   124 |DFxE_SLT| 15 |   125 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   125 |DFyE_SLT| 15 |   124 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   126 |DFrI_SLT| 15 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   127 |SALTFILL| 15 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   128 |VISCAHZ | 15 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   129 |VISCA4Z | 15 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   130 |VISCAHD | 15 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   131 |VISCA4D | 15 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   132 |VISCAHW | 15 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   133 |VISCA4W | 15 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   134 |VAHZMAX | 15 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   135 |VA4ZMAX | 15 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   136 |VAHDMAX | 15 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   137 |VA4DMAX | 15 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   138 |VAHZMIN | 15 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   139 |VA4ZMIN | 15 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   140 |VAHDMIN | 15 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   141 |VA4DMIN | 15 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   142 |VAHZLTH | 15 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   143 |VA4ZLTH | 15 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   144 |VAHDLTH | 15 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   145 |VA4DLTH | 15 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   146 |VAHZLTHD| 15 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   147 |VA4ZLTHD| 15 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   148 |VAHDLTHD| 15 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   149 |VA4DLTHD| 15 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   150 |VAHZSMAG| 15 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   151 |VA4ZSMAG| 15 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   152 |VAHDSMAG| 15 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   153 |VA4DSMAG| 15 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   154 |momKE   | 15 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   155 |momHDiv | 15 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   156 |momVort3| 15 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   157 |Strain  | 15 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   158 |Tension | 15 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   159 |Stretch | 15 |       |SM      MR|s^-1            |Vortex stretching from QG Leith dynamic viscosity
   160 |USidDrag| 15 |   161 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   161 |VSidDrag| 15 |   160 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   162 |Um_Diss | 15 |   163 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Explicit part)
   163 |Vm_Diss | 15 |   162 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Explicit part)
   164 |Um_ImplD| 15 |   165 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Implicit part)
   165 |Vm_ImplD| 15 |   164 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Implicit part)
   166 |Um_Advec| 15 |   167 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   167 |Vm_Advec| 15 |   166 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   168 |Um_Cori | 15 |   169 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   169 |Vm_Cori | 15 |   168 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   170 |Um_dPhiX| 15 |   171 |UUR     MR|m/s^2           |U momentum tendency from Pressure/Potential grad
   171 |Vm_dPhiY| 15 |   170 |VVR     MR|m/s^2           |V momentum tendency from Pressure/Potential grad
   172 |Um_Ext  | 15 |   173 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   173 |Vm_Ext  | 15 |   172 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   174 |Um_AdvZ3| 15 |   175 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   175 |Vm_AdvZ3| 15 |   174 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   176 |Um_AdvRe| 15 |   177 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   177 |Vm_AdvRe| 15 |   176 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   178 |botTauX |  1 |   179 |UU      U1|N/m^2           |zonal bottom stress, >0 increases uVel
   179 |botTauY |  1 |   178 |VV      U1|N/m^2           |meridional bottom stress, >0 increases vVel
   180 |ADVx_Um | 15 |   181 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   181 |ADVy_Um | 15 |   180 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   182 |ADVrE_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   183 |ADVx_Vm | 15 |   184 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   184 |ADVy_Vm | 15 |   183 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   185 |ADVrE_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   186 |VISCx_Um| 15 |   187 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   187 |VISCy_Um| 15 |   186 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   188 |VISrE_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   189 |VISrI_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   190 |VISCx_Vm| 15 |   191 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   191 |VISCy_Vm| 15 |   190 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   192 |VISrE_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   193 |VISrI_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   194 |GM_VisbK|  1 |       |SM P    M1|m^2/s           |Mixing coefficient from Visbeck etal parameterization
   195 |GM_hTrsL|  1 |       |SM P    M1|m               |Base depth (>0) of the Transition Layer
   196 |GM_baseS|  1 |       |SM P    M1|1               |Slope at the base of the Transition Layer
   197 |GM_rLamb|  1 |       |SM P    M1|1/m             |Slope vertical gradient at Trans. Layer Base (=recip.Lambda)
   198 |SubMesLf|  1 |       |SM P    M1|m               |Sub-Meso horiz. Length Scale (Lf)
   199 |SubMpsiX|  1 |   200 |UU      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): U component
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |SubMpsiY|  1 |   199 |VV      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): V component
   201 |GM_Kux  | 15 |   202 |UU P    MR|m^2/s           |K_11 element (U.point, X.dir) of GM-Redi tensor
   202 |GM_Kvy  | 15 |   201 |VV P    MR|m^2/s           |K_22 element (V.point, Y.dir) of GM-Redi tensor
   203 |GM_Kuz  | 15 |   204 |UU      MR|m^2/s           |K_13 element (U.point, Z.dir) of GM-Redi tensor
   204 |GM_Kvz  | 15 |   203 |VV      MR|m^2/s           |K_23 element (V.point, Z.dir) of GM-Redi tensor
   205 |GM_Kwx  | 15 |   206 |UM      LR|m^2/s           |K_31 element (W.point, X.dir) of GM-Redi tensor
   206 |GM_Kwy  | 15 |   205 |VM      LR|m^2/s           |K_32 element (W.point, Y.dir) of GM-Redi tensor
   207 |GM_Kwz  | 15 |       |WM P    LR|m^2/s           |K_33 element (W.point, Z.dir) of GM-Redi tensor
   208 |GM_PsiX | 15 |   209 |UU      LR|m^2/s           |GM Bolus transport stream-function : U component
   209 |GM_PsiY | 15 |   208 |VV      LR|m^2/s           |GM Bolus transport stream-function : V component
   210 |GM_KuzTz| 15 |   211 |UU      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: X component
   211 |GM_KvzTz| 15 |   210 |VV      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: Y component
   212 |GM_KwzTz| 15 |       |WM      LR|degC.m^3/s      |Redi main-diagonal vertical Temperature flux
   213 |GM_ubT  | 15 |   214 |UUr     MR|degC.m^3/s      |Zonal Mass-Weight Bolus Transp of Pot Temp
   214 |GM_vbT  | 15 |   213 |VVr     MR|degC.m^3/s      |Meridional Mass-Weight Bolus Transp of Pot Temp
   215 |GM_BVPcW|  1 |   216 |SU P    M1|m/s             |WKB wave speed (at Western edge location)
   216 |GM_BVPcS|  1 |   215 |SV P    M1|m/s             |WKB wave speed (at Southern edge location)
   217 |diOBSta1| 15 |       |SM      MR|unit            |Scalar state variable 1 for package diagnostics_ob
   218 |diOBSta2| 15 |       |SM      MR|unit            |Scalar state variable 2 for package diagnostics_ob
   219 |diOBStaU| 15 |   220 |UU      MR|unit            |uVel-type state variable for package diagnostics_ob
   220 |diOBStaV| 15 |   219 |VV      MR|unit            |vVel-type state variable for package diagnostics_ob
   221 |diOBSur1|  1 |       |SM      L1|unit            |Surface field 1 for package diagnostics_ob
   222 |diOBSur2|  1 |       |SM      L1|unit            |Surface field 2 for package diagnostics_ob
   223 |diOBdTdt| 15 |       |SMR     MR|K/s             | Pot.Temp. tendency from package diagnostics_ob
   224 |diOBdSdt| 15 |       |SMR     MR|psu/s           | Salinity  tendency from package diagnostics_ob
   225 |diOBdUdt| 15 |   226 |UUR     MR|m/s^2           |u-Velocity tendency from package diagnostics_ob
   226 |diOBdVdt| 15 |   225 |VVR     MR|m/s^2           |v-Velocity tendency from package diagnostics_ob
   227 |diOBLev3|  3 |       |SM      MX|unit            |3-levels field for package diagnostics_ob
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
